Court,Abbreviation
United States Supreme Court,U.S.                                                      
First Circuit,1st Cir.
Second Circuit,2d Cir.
Third Circuit,3d Cir.
Fourth Circuit,4th Cir.
Fifth Circuit,5th Cir.
Sixth Circuit,6th Cir.
Seventh Circuit,7th Cir.
Eighth Circuit,8th Cir.
Ninth Circuit,9th Cir.
Tenth Circuit,10th Cir.
Eleventh Circuit,11th Cir.
D.C. Circuit,D.C. Cir.
Federal Circuit,Fed. Cir.
Middle District of Alabama,M.D. Ala.
Northern District of Alabama,N.D. Ala.
Southern District of Alabama,S.D. Ala.
District of Alaska,D. Alaska
District of Arizona,D. Ariz.
Eastern District of Arkansas,E.D. Ark.
Western District of Arkansas,W.D. Ark.
Central District of California,C.D. Cal.
Eastern District of California,E.D. Cal.
Northern District of California,N.D. Cal.
Southern District of California,S.D. Cal.
District of the Canal Zone,D.C.Z.
District of Colorado,D. Colo.
District of Connecticut,D. Conn.
District of Delaware,D. Del.
District of D.C.,D.D.C.
Middle District of Florida,M.D. Fla.
Northern District of Florida,N.D. Fla.
Southern District of Florida,S.D. Fla.
Middle District of Georgia,M.D. Ga.
Northern District of Georgia,N.D. Ga.
Southern District of Georgia,S.D. Ga.
District of Guam,D. Guam
District of Hawaii,D. Haw.
District of Idaho,D. Idaho
Central District of Illinois,C.D. Ill.
Northern District of Illinois,N.D. Ill.
Northern District of Indiana,N.D. Ind.
Southern District of Indiana,S.D. Ind.
Northern District of Iowa,N.D. Iowa
Southern District of Iowa,S.D. Iowa
District of Kansas,D. Kan.
Eastern District of Kentucky,E.D. Ky.
Western District of Kentucky,W.D. Ky.
Eastern District of Louisiana,E.D. La.
Middle District of Louisiana,M.D. La.
Western District of Louisiana,W.D. La.
District of Maine,D. Me.
District of Maryland,D. Md.
District of Massachusetts,D. Mass.
Eastern District of Michigan,E.D. Mich.
Western District of Michigan,W.D. Mich.
District of Minnesota,D. Minn.
Northern District of Mississippi,N.D. Miss.
Southern District of Mississippi,S.D. Miss.
Eastern District of Missouri,E.D. Mo.
Western District of Missouri,W.D. Mo.
District of Montana,D. Mont.
District of Nebraska,D. Neb.
District of Nevada,D. Nev.
District of New Hampshire,D.N.H.
District of New Jersey,D.N.J.
District of New Mexico,D.N.M.
Eastern District of New York,E.D.N.Y.
Northern District of New York,N.D.N.Y.
Southern District of New York,S.D.N.Y.
Western District of New York,W.D.N.Y.
Eastern District of North Carolina,E.D.N.C.
Middle District of North Carolina,M.D.N.C.
Western District of North Carolina,W.D.N.C.
District of North Dakota,D.N.D.
District of the Northern Mariana Islands,D.N. Mar. Is.
Northern District of Ohio,N.D. Ohio
Southern District of Ohio,S.D. Ohio
Eastern District of Oklahoma,E.D. Okla.
Northern District of Oklahoma,N.D. Okla.
Western District of Oklahoma,W.D. Okla.
District of Oregon,D. Or.
Eastern District of Pennsylvania,E.D. Pa.
Middle District of Pennsylvania,M.D. Pa.
Western District of Pennsylvania,W.D. Pa.
District of Puerto Rico,D.P.R.
District of Rhode Island,D.R.I.
District of South Carolina,D.S.C.
District of South Dakota,D.S.D.
Eastern District of Tennessee,E.D. Tenn.
Middle District of Tennessee,M.D. Tenn.
Western District of Tennessee,W.D. Tenn.
Eastern District of Texas,E.D. Tex.
Northern District of Texas,N.D. Tex.
Southern District of Texas,S.D. Tex.
Western District of Texas,W.D. Tex.
District of Utah,D. Utah
District of Vermont,D. Vt.
Eastern District of Virginia,E.D. Va.
Western District of Virginia,W.D. Va.
District of the Virgin Islands,D.V.I.
Eastern District of Washington,E.D. Wash.
Western District of Washington,W.D. Wash.
Northern District of West Virginia,N.D.W. Va.
Southern District of West Virginia,S.D.W. Va.
Eastern District of Wisconsin,E.D. Wis.
Western District of Wisconsin,W.D. Wis.
District of Wyoming,D. Wyo.